"ID","Work Item Type","Title","Epic","Feature","Parent ID","Description","Acceptance Criteria","Priority","Release","Story Points","Dependencies","Labels"
"PG-001","Epic","Authentication & Access Management","Authentication & Access Management","","","Secure accounts, sessions, profiles, consent and RBAC for all users.","","","","","","epic"
"PG-002","Feature","Registration & Verification","Authentication & Access Management","Registration & Verification","PG-001","Feature under Authentication & Access Management","","","","","","feature"
"PG-003","Story","Register an account","Authentication & Access Management","Registration & Verification","PG-002","As a candidate, I want to register with my email and mobile number, so that I can create an account and start preparing.","Valid email and phone are accepted; invalid formats rejected with clear errors | Duplicate email is rejected with a helpful message | Password meets policy and is hashed with Argon2 server-side | Explicit data-processing consent is captured at signup | Unverified accounts cannot access paid/AI features","Highest","MVP","3","PostgreSQL users table; Consent (DPDP)","auth;mvp"
"PG-004","Story","Verify email / OTP","Authentication & Access Management","Registration & Verification","PG-002","As a candidate, I want to verify my account via email link or OTP, so that the platform trusts my identity.","Verification link or OTP is delivered | OTP expires after a set window and is single-use | Verified flag is set on success | Resend is supported and rate-limited","Highest","MVP","2","Registration","auth;mvp"
"PG-005","Feature","Login & Session","Authentication & Access Management","Login & Session","PG-001","Feature under Authentication & Access Management","","","","","","feature"
"PG-006","Story","Log in securely","Authentication & Access Management","Login & Session","PG-005","As a user, I want to log in with my credentials, so that I can access my account safely.","Correct credentials create a session via httpOnly Secure cookie | Incorrect credentials are rejected without revealing which field failed | Login is rate-limited and locks out after repeated failures | Access + refresh tokens issued; refresh rotates and old tokens are invalidated","Highest","MVP","3","Redis (rate limiting)","auth;mvp"
"PG-007","Story","Reset forgotten password","Authentication & Access Management","Login & Session","PG-005","As a user, I want to reset my password via a secure link, so that I can regain access if I forget it.","Reset link expires and is single-use | Password is updated and all existing sessions are invalidated | Reset requests are rate-limited","Highest","MVP","2","Login & Session","auth;mvp"
"PG-008","Feature","Profile & Consent (DPDP)","Authentication & Access Management","Profile & Consent (DPDP)","PG-001","Feature under Authentication & Access Management","","","","","","feature"
"PG-009","Story","Manage my profile","Authentication & Access Management","Profile & Consent (DPDP)","PG-008","As a user, I want to edit my name, target exam, exam date and preferred language, so that the app personalizes to me.","All fields editable and persisted | Preferred language defaults to Assamese | Exam date drives the dashboard countdown | Target exam scopes practice and analytics","Highest","MVP","2","Exam configuration","auth;mvp"
"PG-010","Story","Exercise my data rights","Authentication & Access Management","Profile & Consent (DPDP)","PG-008","As a user, I want to give or withdraw consent and delete my account, so that my privacy rights are respected under the DPDP Act.","Consent recorded with purpose, version and timestamp | Data export is available on request | Deletion anonymizes PII and de-links (not deletes) financial/audit rows | Minor accounts require verifiable parental consent before activation","Highest","MVP","5","Credit ledger; Compliance","auth;mvp;compliance"
"PG-011","Feature","Role-Based Access Control","Authentication & Access Management","Role-Based Access Control","PG-001","Feature under Authentication & Access Management","","","","","","feature"
"PG-012","Story","Enforce RBAC","Authentication & Access Management","Role-Based Access Control","PG-011","As a platform, I want to restrict each user to permitted functions by role, so that the system is secure and tenant-safe.","Roles defined: student, teacher, institution_admin, content_manager, content_reviewer, sme, platform_admin | Every endpoint enforces RBAC server-side (UI hiding is not sufficient) | Unauthorized access returns 403 and is logged | Institution-scoped roles cannot access other tenants","Highest","MVP","5","Multi-tenancy scoping","auth;security;mvp"
"PG-013","Epic","Student Dashboard","Student Dashboard","","","At-a-glance progress, recommendations and exam countdown for students.","","","","","","epic"
"PG-014","Feature","Dashboard Overview","Student Dashboard","Dashboard Overview","PG-013","Feature under Student Dashboard","","","","","","feature"
"PG-015","Story","See progress overview","Student Dashboard","Dashboard Overview","PG-014","As a student, I want to see my daily goal, streak, accuracy and questions attempted, so that I can track progress at a glance.","Daily goal, current streak, accuracy % and questions-attempted shown | Values reconcile with backend analytics | Loads within performance budget on low-end devices","Highest","MVP","3","Result Analytics","dashboard;mvp"
"PG-016","Story","See exam countdown","Student Dashboard","Dashboard Overview","PG-014","As a student, I want to see a days-to-exam countdown, so that I feel the timeline and stay urgent.","Countdown computed from exam_date | Hidden gracefully when no exam date is set","Highest","MVP","1","Profile","dashboard;mvp"
"PG-017","Feature","Recommendations","Student Dashboard","Recommendations","PG-013","Feature under Student Dashboard","","","","","","feature"
"PG-018","Story","See weak topics & recommendations","Student Dashboard","Recommendations","PG-017","As a student, I want to see my weak topics and recommended practice, so that I know exactly what to study next.","Weak topics surfaced from analytics | Recommended practice links directly into a session | Recommendations refresh after new attempts","Highest","MVP","3","Result Analytics; Exam Engine","dashboard;mvp"
"PG-019","Story","See upcoming mocks & subject performance","Student Dashboard","Recommendations","PG-017","As a student, I want to see upcoming mocks and subject-wise performance, so that I can plan my week.","Upcoming mock tests listed | Subject performance is accurate and up to date","High","Fast-Follow","2","Result Analytics","dashboard;fast-follow"
"PG-020","Epic","Question Bank & Content Model","Question Bank & Content Model","","","Config-driven question bank with manual entry, ingestion, dedup and appearance history.","","","","","","epic"
"PG-021","Feature","Question Model & Manual Entry","Question Bank & Content Model","Question Model & Manual Entry","PG-020","Feature under Question Bank & Content Model","","","","","","feature"
"PG-022","Story","Create questions manually","Question Bank & Content Model","Question Model & Manual Entry","PG-021","As a content manager, I want to create questions with options, answer, explanation, subject/topic/subtopic, difficulty, language and tags, so that the bank has trustworthy content from day one.","Required fields enforced; exactly one correct option | Question created as Draft with origin=manual | Language and difficulty captured | Question is linked to a subtopic and exam","Highest","MVP","3","Exam configuration; Content Review","questionbank;mvp"
"PG-023","Story","Record appearance history","Question Bank & Content Model","Question Model & Manual Entry","PG-021","As a content manager, I want to record the years and papers a question appeared in, so that we can do trend and frequency analysis.","Appearances added as (year, paper) | One master question retained; no duplicate masters | Full appearance history visible on the question","Highest","MVP","2","Previous-year papers","questionbank;mvp"
"PG-024","Feature","Automated Ingestion","Question Bank & Content Model","Automated Ingestion","PG-020","Feature under Question Bank & Content Model","","","","","","feature"
"PG-025","Story","Ingest previous-year papers","Question Bank & Content Model","Automated Ingestion","PG-024","As a content manager, I want to upload a previous-year paper PDF and have the system draft questions, options and answers, so that manual effort is reduced.","PDF upload accepted; extraction runs asynchronously (Celery) | System creates Draft questions; extraction errors flagged for review | Manual-entry fallback available when extraction is poor | Nothing is ever auto-published","High","Fast-Follow","8","Celery; ai_gateway; Content Review","questionbank;ingestion;fast-follow"
"PG-026","Story","Detect duplicate questions","Question Bank & Content Model","Automated Ingestion","PG-024","As a system, I want to detect near-duplicate questions on ingest using pgvector and trigram similarity, so that the bank stays clean and trustworthy.","Semantic (pgvector) + lexical (pg_trgm) candidates computed | Candidates surfaced to a reviewer | Questions are never auto-merged","High","Fast-Follow","5","pgvector; Ingestion","questionbank;dedup;fast-follow"
"PG-027","Epic","Exam Engine","Exam Engine","","","Config-driven practice and mock test engine with reliable, server-authoritative sessions.","","","","","","epic"
"PG-028","Feature","Practice Modes","Exam Engine","Practice Modes","PG-027","Feature under Exam Engine","","","","","","feature"
"PG-029","Story","Practice by topic/subject/mixed","Exam Engine","Practice Modes","PG-028","As a student, I want to practice questions by topic, subject or mixed sets, so that I can practice flexibly.","Scope selection builds a session from published questions only | Filters (subject/topic/difficulty) apply correctly | Composition follows exam config, not hardcoded logic","Highest","MVP","5","Question Bank (published); Exam config","engine;mvp"
"PG-030","Story","Attempt previous-year paper","Exam Engine","Practice Modes","PG-028","As a student, I want to attempt the exact previous-year paper, so that I can simulate the real exam.","Exact questions load in original order | Timing follows exam config","Highest","MVP","3","Question Bank; Appearance history","engine;mvp"
"PG-031","Feature","Mock Test Interface","Exam Engine","Mock Test Interface","PG-027","Feature under Exam Engine","","","","","","feature"
"PG-032","Story","Take a full mock test","Exam Engine","Mock Test Interface","PG-031","As a student, I want to take a full mock (CTET pattern 150Q/150min) with timer, navigator, save & next, mark for review, auto-submit and full-screen, so that I get realistic, high-fidelity practice.","Question count and duration come from exam config | Navigator shows question states (not visited/visited/answered/marked/answered+marked) | Mark-for-review and save & next work | Auto-submit fires at time expiry; full-screen and mobile-responsive","Highest","MVP","8","Exam config; Question Bank","engine;mvp"
"PG-033","Story","Never lose progress on flaky networks","Exam Engine","Mock Test Interface","PG-031","As a student, I want to have my answers saved reliably and the timer enforced server-side, so that I never lose progress or gain/lose time.","Answer save is idempotent per (session, question) | Answers buffer offline and sync on reconnect | Timer is server-authoritative; client only displays the countdown | Auto-submit occurs even if the client disconnects","Highest","MVP","5","Redis; Celery (auto-submit)","engine;reliability;mvp"
"PG-034","Feature","Scoring","Exam Engine","Scoring","PG-027","Feature under Exam Engine","","","","","","feature"
"PG-035","Story","Score by exam config rules","Exam Engine","Scoring","PG-034","As a system, I want to score attempts using marks, negative-marking and pass-line from exam config, so that every exam scores correctly without code changes.","Scoring reads rules from exam config | CTET applies no negative marking | Results are framed against the per-section pass line","Highest","MVP","3","Exam config","engine;mvp"
"PG-036","Epic","Result Analytics & Readiness","Result Analytics & Readiness","","","Immediate results, trends, and a predictive Exam Readiness Score.","","","","","","epic"
"PG-037","Feature","Result Breakdown","Result Analytics & Readiness","Result Breakdown","PG-036","Feature under Result Analytics & Readiness","","","","","","feature"
"PG-038","Story","See immediate results","Result Analytics & Readiness","Result Breakdown","PG-037","As a student, I want to see score, correct/incorrect/skipped and accuracy right after submitting, so that I know how I did instantly.","Results shown on submission and match scoring | Per-section breakdown displayed","Highest","MVP","3","Exam Engine","analytics;mvp"
"PG-039","Story","See subject & topic analytics","Result Analytics & Readiness","Result Breakdown","PG-037","As a student, I want to see subject- and topic-level analytics, so that I understand my strengths and weaknesses.","Subject accuracy and topic accuracy displayed | Framed against the pass line","Highest","MVP","3","Exam Engine","analytics;mvp"
"PG-040","Feature","Trends & Readiness","Result Analytics & Readiness","Trends & Readiness","PG-036","Feature under Result Analytics & Readiness","","","","","","feature"
"PG-041","Story","See improvement trends","Result Analytics & Readiness","Trends & Readiness","PG-040","As a student, I want to see my trends over 7/30/90 days, so that I can see progress over time.","Trend windows computed from aggregates | Updates after new attempts","High","Fast-Follow","5","Result Breakdown; Celery","analytics;fast-follow"
"PG-042","Story","See Exam Readiness Score","Result Analytics & Readiness","Trends & Readiness","PG-040","As a student, I want to see a readiness score with strong/weak areas and recommendations, so that I can gauge how prepared I am.","Composite score computed from configured weights | Strong areas, weak areas and recommendations shown | Pass-probability prediction is explicitly out of scope (future, needs outcome data)","High","Fast-Follow","5","Result Breakdown; Exam config (analytics rules)","analytics;readiness;fast-follow"
"PG-043","Epic","AI Tutor","AI Tutor","","","Multilingual, credit-metered explanations and concept help.","","","","","","epic"
"PG-044","Feature","Ask & Explain","AI Tutor","Ask & Explain","PG-043","Feature under AI Tutor","","","","","","feature"
"PG-045","Story","Ask why an answer is correct","AI Tutor","Ask & Explain","PG-044","As a student, I want to ask why an answer is correct and get an explanation, so that I understand the concept, not just the answer.","Tutor uses question, options, explanation and topic context | Response is streamed | Response respects my preferred language","Highest","MVP","5","AI Credits; ai_gateway","tutor;ai;mvp"
"PG-046","Story","Get help in my language","AI Tutor","Ask & Explain","PG-044","As a student, I want to get explanations in Assamese or English, so that I learn in the language I think in.","Response delivered in preferred_language | Language is switchable per request","Highest","MVP","3","AI Tutor base","tutor;ai;mvp"
"PG-047","Story","Request more examples","AI Tutor","Ask & Explain","PG-044","As a student, I want to ask for another example or a similar question, so that I can reinforce my understanding.","Tutor returns an additional example or generated similar question | Generated practice follows draft-only rules if persisted","High","Fast-Follow","3","AI Question Generation","tutor;ai;fast-follow"
"PG-048","Feature","Cost Metering","AI Tutor","Cost Metering","PG-043","Feature under AI Tutor","","","","","","feature"
"PG-049","Story","Meter every tutor call","AI Tutor","Cost Metering","PG-048","As a platform, I want to meter every AI tutor call against credits at the backend, so that AI margins are protected.","Reserve -> call -> commit/release on every request | No AI call proceeds without a successful credit reserve | Cache hits cost 0 credits | Requests are rate-limited; credits are never trusted from the client","Highest","MVP","5","AI Credits ledger; ai_gateway","tutor;ai;credits;mvp"
"PG-050","Epic","Adaptive Daily Practice","Adaptive Daily Practice","","","A daily habit-forming practice set tailored to the learner.","","","","","","epic"
"PG-051","Feature","Daily Set Generation","Adaptive Daily Practice","Daily Set Generation","PG-050","Feature under Adaptive Daily Practice","","","","","","feature"
"PG-052","Story","Get an adaptive daily set","Adaptive Daily Practice","Daily Set Generation","PG-051","As a student, I want to receive a daily set of 10-20 questions based on my weak topics, mistakes, trends and syllabus coverage, so that I build a daily habit and improve fastest.","Set generated daily via Celery | Inputs include weak topics, missed questions, recent mistakes, performance trends, syllabus coverage and exam date | Recommendations adapt continuously | Selection is exam-config-driven","High","Fast-Follow","8","Result Analytics (weak topics); Exam Engine; Celery","practice;adaptive;fast-follow"
"PG-053","Story","Start my daily set quickly","Adaptive Daily Practice","Daily Set Generation","PG-051","As a student, I want to get my daily set linked on the dashboard and via Telegram, so that I can start with one tap.","Daily link on dashboard and pushed via Telegram | Completion counts toward streak and daily goal","High","Fast-Follow","3","Telegram Reminders; Daily Set Generation","practice;fast-follow"
"PG-054","Epic","Study Plans","Study Plans","","","Personalized, trackable study roadmaps anchored to the exam date.","","","","","","epic"
"PG-055","Feature","Plan Generation","Study Plans","Plan Generation","PG-054","Feature under Study Plans","","","","","","feature"
"PG-056","Story","Generate a study plan","Study Plans","Plan Generation","PG-055","As a student, I want to generate a personalized study plan from my exam date and available hours, so that I have a clear roadmap to exam day.","Inputs: target exam, exam date, hours per day | Output: dated plan with topic sequence, practice goals and mock schedule | Plan anchored to the exam countdown","High","Fast-Follow","5","Exam config; Result Analytics","studyplan;fast-follow"
